state,carmax_location,zip_code,jeep_odometer_miles,jeep_asking_price,subaru_odometer_miles,subaru_asking_price,,,,,,,,,,,,,,,,,,,,
oregon,beaverton,97008,113373,8999,111144,9900,,,,,,,,,,,,,,,,,,,,
maine,south_portland,4106,107775,6997,105189,9995,,,,,,,,,,,,,,,,,,,,
colorado,colorado_springs,80922,151195,7195,84990,11719,,,,,,,,,,,,,,,,,,,,
minnesota,maplewood,55109,117198,7999,97775,10979,,,,,,,,,,,,,,,,,,,,
north_carolina,gastonia,28054,101658,8135,99079,9780,,,,,,,,,,,,,,,,,,,,
ohio,dayton,45449,81057,8495,108126,13998,,,,,,,,,,,,,,,,,,,,
nevada,west_sahara,89146,98135,8995,140099,6995,,,,,,,,,,,,,,,,,,,,
new_york,albany,12205,106647,10995,95641,10995,,,,,,,,,,,,,,,,,,,,
washington,puyallup,98371,86345,8988,104023,9995,,,,,,,,,,,,,,,,,,,,
georgia,buford,30519,102879,6998,117871,7761,,,,,,,,,,,,,,,,,,,,
south_carolina,myrtle_beach,29579,114006,7400,161411,7500,,,,,,,,,,,,,,,,,,,,
indiana,merrillville,46410,87606,8999,111552,8777,,,,,,,,,,,,,,,,,,,,
kentucky,lexington,40515,114636,6900,134907,8999,,,,,,,,,,,,,,,,,,,,
new_hampshire,manchester,3103,114221,6900,119691,7498,,,,,,,,,,,,,,,,,,,,
utah,salt_lake,84095,113094,7995,81449,8500,,,,,,,,,,,,,,,,,,,,
illinois,o_fallon,62269,123001,8705,116569,9588,,,,,,,,,,,,,,,,,,,,
conneticut,harford,6120,100432,7295,85482,8500,,,,,,,,,,,,,,,,,,,,
oklahoma,oklahoma_city,73131,117194,5998,167076,7988,,,,,,,,,,,,,,,,,,,,
mississippi,jackson,39206,113549,8990,126556,6500,,,,,,,,,,,,,,,,,,,,
iowa,des_moines,50322,76785,9950,94230,9999,,,,,,,,,,,,,,,,,,,,
nebraska,omaha,68118,87804,9200,129964,9094,,,,,,,,,,,,,,,,,,,,
california,irvine,92618,99462,8995,95000,10500,,,,,,,,,,,,,,,,,,,,
missouri,st_louis_south,63123,123001,8705,116569,9588,,,,,,,,,,,,,,,,,,,,
massachussetes,westborough,1518,114221,6900,106411,7975,,,,,,,,,,,,,,,,,,,,
idaho,boise,83642,92790,8945,97794,9419,,,,,,,,,,,,,,,,,,,,
alabama,mobile,36606,92438,8995,93400,8895,,,,,,,,,,,,,,,,,,,,
new_mexico,albuquerque,87113,119453,7990,68916,11391,,,,,,,,,,,,,,,,,,,,
tennesse,nashville,37204,99690,6487,131400,7995,,,,,,,,,,,,,,,,,,,,
virginia,harrisonburg,22801,83672,7937,93867,11624,,,,,,,,,,,,,,,,,,,,
new_jersey,maple_shade,8502,85492,7995,81900,8999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,